X,Y,osm_id,osm_way_id,name,type,aeroway,amenity,admin_level,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
173.2815795,-41.2697769,,"141573701",Countdown,,,,,,,yes,,,,,,,,,,,,supermarket,,,"""addr:city""=>""Nelson"",""brand""=>""Countdown"",""brand:wikidata""=>""Q5176845"",""brand:wikipedia""=>""en:Countdown (supermarket)""","8","0","0","8",0.00116309050711,42.81485182173392
173.2815777,-41.2697461,,"141573701",Countdown,,,,,,,yes,,,,,,,,,,,,supermarket,,,"""addr:city""=>""Nelson"",""brand""=>""Countdown"",""brand:wikidata""=>""Q5176845"",""brand:wikipedia""=>""en:Countdown (supermarket)""","9","0","0","9",0.00119394305967,43.94334841409028
173.2819685,-41.2697545,,"141573701",Countdown,,,,,,,yes,,,,,,,,,,,,supermarket,,,"""addr:city""=>""Nelson"",""brand""=>""Countdown"",""brand:wikidata""=>""Q5176845"",""brand:wikipedia""=>""en:Countdown (supermarket)""","10","0","0","10",0.00158483332559,136.60227630903762
173.2819567,-41.270097,,"141573701",Countdown,,,,,,,yes,,,,,,,,,,,,supermarket,,,"""addr:city""=>""Nelson"",""brand""=>""Countdown"",""brand:wikidata""=>""Q5176845"",""brand:wikipedia""=>""en:Countdown (supermarket)""","11","0","0","11",0.00192753653539,181.88255143830807
173.2819398,-41.2706372,,"141573701",Countdown,,,,,,,yes,,,,,,,,,,,,supermarket,,,"""addr:city""=>""Nelson"",""brand""=>""Countdown"",""brand:wikidata""=>""Q5176845"",""brand:wikipedia""=>""en:Countdown (supermarket)""","12","0","0","12",0.00246800082653,226.52145411306265
173.2813445,-41.2706242,,"141573701",Countdown,,,,,,,yes,,,,,,,,,,,,supermarket,,,"""addr:city""=>""Nelson"",""brand""=>""Countdown"",""brand:wikidata""=>""Q5176845"",""brand:wikipedia""=>""en:Countdown (supermarket)""","13","0","0","13",0.00306344275486,283.27429893185803
173.2883325,-41.2645003,,"141573705",,,,,,,,yes,,,,,,,,,,,,,,,,"0","0","0","0",0.00000000000000,157.78058140801613
173.2881763,-41.2647878,,"141573705",,,,,,,,yes,,,,,,,,,,,,,,,,"1","0","0","1",0.00032719213010,247.79822378191977
173.2880279,-41.2647422,,"141573705",,,,,,,,yes,,,,,,,,,,,,,,,,"2","0","0","2",0.00048244006084,337.80240482475892
173.2881841,-41.2644548,,"141573705",,,,,,,,yes,,,,,,,,,,,,,,,,"3","0","0","3",0.00080954432556,67.78476245085528
173.2883325,-41.2645003,,"141573705",,,,,,,,yes,,,,,,,,,,,,,,,,"4","0","0","4",0.00096476291336,157.78058140801613
173.2830908,-41.2706361,,"153749824",Elma Turner Library,,,library,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Nelson"",""addr:housenumber""=>""27"",""addr:postcode""=>""7010"",""addr:street""=>""Halifax Street"",""addr:suburb""=>""Nelson"",""internet_access""=>""yes"",""internet_access:fee""=>""no"",""opening_hours""=>""Mo, Tu, Th, Fr 09:30-18:00; We 10:00-18:00; Sa 10:00-16:00; Su 13:00-16:00"",""ref:linz:address_id""=>""316305"",""wikidata""=>""Q64744757""","0","0","0","0",0.00000000000000,46.92580532502460
173.283125,-41.2700596,,"153749824",Elma Turner Library,,,library,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Nelson"",""addr:housenumber""=>""27"",""addr:postcode""=>""7010"",""addr:street""=>""Halifax Street"",""addr:suburb""=>""Nelson"",""internet_access""=>""yes"",""internet_access:fee""=>""no"",""opening_hours""=>""Mo, Tu, Th, Fr 09:30-18:00; We 10:00-18:00; Sa 10:00-16:00; Su 13:00-16:00"",""ref:linz:address_id""=>""316305"",""wikidata""=>""Q64744757""","1","0","0","1",0.00057751354096,3.40811337057908
173.2831305,-41.2699676,,"153749824",Elma Turner Library,,,library,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Nelson"",""addr:housenumber""=>""27"",""addr:postcode""=>""7010"",""addr:street""=>""Halifax Street"",""addr:suburb""=>""Nelson"",""internet_access""=>""yes"",""internet_access:fee""=>""no"",""opening_hours""=>""Mo, Tu, Th, Fr 09:30-18:00; We 10:00-18:00; Sa 10:00-16:00; Su 13:00-16:00"",""ref:linz:address_id""=>""316305"",""wikidata""=>""Q64744757""","2","0","0","2",0.00066967779651,317.67380506914452
173.2829313,-41.2699609,,"153749824",Elma Turner Library,,,library,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Nelson"",""addr:housenumber""=>""27"",""addr:postcode""=>""7010"",""addr:street""=>""Halifax Street"",""addr:suburb""=>""Nelson"",""internet_access""=>""yes"",""internet_access:fee""=>""no"",""opening_hours""=>""Mo, Tu, Th, Fr 09:30-18:00; We 10:00-18:00; Sa 10:00-16:00; Su 13:00-16:00"",""ref:linz:address_id""=>""316305"",""wikidata""=>""Q64744757""","3","0","0","3",0.00086899044036,317.66866791927328
